,Player,Position,Team,Salary,ESPN_FantasyPoints,FantasyData_FantasyPoints,FantasyFootball_FantasyPoints,AvgPointsPerGame,Avg,Max,Min
298,Joe Banyard,RB,BUF,3000,0,,,0.0,0.0,0.0,0.0
299,Patrick DiMarco,RB,BUF,3000,1.6,,,0.26,0.26,0.26,0.26
300,Walter Powell,WR,BUF,3000,0,,,0.0,0.0,0.0,0.0
301,Walter Powell,WR,BUF,3000,0,,,0.0,0.0,0.0,0.0
302,Walter Powell,WR,BUF,3000,0,,,0.0,0.0,0.0,0.0
303,Walter Powell,WR,BUF,3000,0,,,0.0,0.0,0.0,0.0
304,Walter Powell,WR,BUF,3000,0,,,0.0,0.0,0.0,0.0
305,Walter Powell,WR,BUF,3000,0,,,0.0,0.0,0.0,0.0
306,Walter Powell,WR,BUF,3000,0,,,0.0,0.0,0.0,0.0
307,Walter Powell,WR,BUF,3000,0,,,0.0,0.0,0.0,0.0
308,Walter Powell,WR,BUF,3000,0,,,0.0,0.0,0.0,0.0
309,Walter Powell,WR,BUF,3000,0,,,0.0,0.0,0.0,0.0
310,Walter Powell,WR,BUF,3000,0,,,0.0,0.0,0.0,0.0
311,Walter Powell,WR,BUF,3000,0,,,0.0,0.0,0.0,0.0
312,Walter Powell,WR,BUF,3000,0,,,0.0,0.0,0.0,0.0
313,Walter Powell,WR,BUF,3000,0,,,0.0,0.0,0.0,0.0
314,Walter Powell,WR,BUF,3000,0,,,0.0,0.0,0.0,0.0
315,Kaelin Clay,WR,BUF,3000,1.5,,,0.95,0.95,0.95,0.95
316,Bernard Reedy,WR,TB,3000,0.5,,,0.46,0.46,0.46,0.46
317,Peyton Barber,RB,TB,3000,0,,,0.98,0.98,0.98,0.98
318,Chris Godwin,WR,TB,3000,1.7,,,2.22,2.22,2.22,2.22
319,Fozzy Whittaker,RB,CAR,3000,0,,,2.233,2.233,2.233,2.233
320,Benny Cunningham,RB,CHI,3000,1.3,,,4.12,4.12,4.12,4.12
321,Josh Bellamy,WR,CHI,3000,2.7,,,3.567,3.567,3.567,3.567
322,Michael Burton,RB,CHI,3000,0.4,,,0.417,0.417,0.417,0.417
323,Tre McBride,WR,CHI,3000,6.1,,,0.933,0.933,0.933,0.933
324,Damiere Byrd,WR,CAR,3000,0,,,0.3,0.3,0.3,0.3
325,Cameron Artis-Payne,RB,CAR,3000,1.2,,,0.0,0.0,0.0,0.0
326,Tanner Gentry,WR,CHI,3000,5.6,,,2.35,2.35,2.35,2.35
327,Taquan Mizzell,RB,CHI,3000,,,,0.0,0.0,0.0,0.0
328,Alex Armah,RB,CAR,3000,,,,0.0,0.0,0.0,0.0
329,Eric Weems,WR,TEN,3000,2,,,0.0,0.0,0.0,0.0
330,James Wright,WR,CLE,3000,0,,,0.0,0.0,0.0,0.0
331,James Wright,WR,CLE,3000,0,,,0.0,0.0,0.0,0.0
332,James Wright,WR,CLE,3000,0,,,0.0,0.0,0.0,0.0
333,James Wright,WR,CLE,3000,0,,,0.0,0.0,0.0,0.0
334,James Wright,WR,CLE,3000,0,,,0.0,0.0,0.0,0.0
335,James Wright,WR,CLE,3000,0,,,0.0,0.0,0.0,0.0
336,James Wright,WR,CLE,3000,0,,,0.0,0.0,0.0,0.0
337,James Wright,WR,CLE,3000,0,,,0.0,0.0,0.0,0.0
338,Jalston Fowler,RB,TEN,3000,0.1,,,1.05,1.05,1.05,1.05
339,David Fluellen,RB,TEN,3000,0.6,,,0.35,0.35,0.35,0.35
340,Sammie Coates,WR,CLE,3000,0,,,0.525,0.525,0.525,0.525
341,Darius Jennings,WR,TEN,3000,0,,,0.0,0.0,0.0,0.0
342,Bryce Treggs,WR,CLE,3000,2.9,,,3.9,3.9,3.9,3.9
343,Danny Vitale,RB,CLE,3000,0,,,0.28300000000000003,0.28300000000000003,0.28300000000000003,0.28300000000000003
344,Matthew Dayes,RB,CLE,3000,0.7,,,0.633,0.633,0.633,0.633
345,Saints ,DST,NO,3000,,,,12.0,12.0,12.0,12.0
346,Coby Fleener,TE,NO,3000,6.6,5.58,3.0,7.18,5.253333333333333,7.18,3.0
347,Zach Line,RB,NO,3000,0,,,0.0,0.0,0.0,0.0
348,Aaron Ripkowski,RB,GB,3000,0.7,,,0.733,0.733,0.733,0.733
349,Tommylee Lewis,WR,NO,3000,0,,,4.05,4.05,4.05,4.05
350,Trevor Davis,WR,GB,3000,0.4,,,0.317,0.317,0.317,0.317
351,Trey Edmunds,RB,NO,3000,0.2,,,0.0,0.0,0.0,0.0
352,Austin Carr,WR,NO,3000,,,,0.0,0.0,0.0,0.0
353,Devante Mays,RB,GB,3000,0,,,0.0,0.0,0.0,0.0
354,Arrelious Benn,WR,JAX,3000,1.6,,,0.3670000000000001,0.3670000000000001,0.3670000000000001,0.3670000000000001
355,Kamar Aiken,WR,IND,3000,3.9,,,3.167,3.167,3.167,3.167
356,George Winn,RB,IND,3000,0,,,0.0,0.0,0.0,0.0
357,Tommy Bohanon,RB,JAX,3000,1.6,,,2.05,2.05,2.05,2.05
358,Tommy Bohanon,RB,JAX,3000,0,,,2.05,2.05,2.05,2.05
359,Tommy Bohanon,RB,JAX,3000,0,,,2.05,2.05,2.05,2.05
360,Tommy Bohanon,RB,JAX,3000,0,,,2.05,2.05,2.05,2.05
361,Tommy Bohanon,RB,JAX,3000,0,,,2.05,2.05,2.05,2.05
362,Tommy Bohanon,RB,JAX,3000,0,,,2.05,2.05,2.05,2.05
363,Tommy Bohanon,RB,JAX,3000,0,,,2.05,2.05,2.05,2.05
364,Quan Bray,WR,IND,3000,0.6,,,0.5329999999999999,0.5329999999999999,0.5329999999999999,0.5329999999999999
365,Max McCaffrey,WR,JAX,3000,0,,,0.28,0.28,0.28,0.28
366,Matt Jones,RB,IND,3000,1.4,,,0.7,0.7,0.7,0.7
367,Chester Rogers,WR,IND,3000,3.1,,,0.0,0.0,0.0,0.0
368,Keelan Cole,WR,JAX,3000,6.2,,,1.783,1.783,1.783,1.783
369,Dede Westbrook,WR,JAX,3000,0,,,0.0,0.0,0.0,0.0
370,Lance Dunbar,RB,LA,3000,0,,,0.0,0.0,0.0,0.0
371,Elijhaa Penny,RB,ARI,3000,,,,0.28300000000000003,0.28300000000000003,0.28300000000000003,0.28300000000000003
372,Brittan Golden,WR,ARI,3000,0,,,1.167,1.167,1.167,1.167
373,D.J. Foster,RB,ARI,3000,0,,,0.0,0.0,0.0,0.0
374,Justin Davis,RB,LA,3000,,,,0.05,0.05,0.05,0.05
375,T.J. Logan,RB,ARI,3000,0,,,0.0,0.0,0.0,0.0
376,Pharoh Cooper,WR,LA,3000,0.8,,,1.767,1.767,1.767,1.767
377,Chad Williams,WR,ARI,3000,0,,,2.15,2.15,2.15,2.15
378,Josh Reynolds,WR,LA,3000,0,,,0.633,0.633,0.633,0.633
379,Michael Thomas,WR,LA,3000,0,,,0.0,0.0,0.0,0.0
380,Jets ,DST,NYJ,3000,,,,5.0,5.0,5.0,5.0
381,Travaris Cadet,RB,NYJ,3000,0,,,1.967,1.967,1.967,1.967
382,Senorise Perry,RB,MIA,3000,0,,,0.0,0.0,0.0,0.0
383,Rashawn Scott,WR,MIA,3000,,,,0.0,0.0,0.0,0.0
384,Lawrence Thomas,RB,NYJ,3000,,,,0.8,0.8,0.8,0.8
385,Leonte Carroo,WR,MIA,3000,5.3,,,0.0,0.0,0.0,0.0
386,Jalin Marshall,WR,NYJ,3000,0,,,0.0,0.0,0.0,0.0
387,Jalin Marshall,WR,NYJ,3000,0,,,0.0,0.0,0.0,0.0
388,Jalin Marshall,WR,NYJ,3000,0,,,0.0,0.0,0.0,0.0
389,Jalin Marshall,WR,NYJ,3000,0,,,0.0,0.0,0.0,0.0
390,Jalin Marshall,WR,NYJ,3000,0,,,0.0,0.0,0.0,0.0
391,Jalin Marshall,WR,NYJ,3000,0,,,0.0,0.0,0.0,0.0
392,Jalin Marshall,WR,NYJ,3000,0,,,0.0,0.0,0.0,0.0
393,Jalin Marshall,WR,NYJ,3000,0,,,0.0,0.0,0.0,0.0
394,Jalin Marshall,WR,NYJ,3000,0,,,0.0,0.0,0.0,0.0
395,Jalin Marshall,WR,NYJ,3000,0,,,0.0,0.0,0.0,0.0
396,Lucky Whitehead,WR,NYJ,3000,0,,,0.0,0.0,0.0,0.0
397,Lucky Whitehead,WR,NYJ,3000,0,,,0.0,0.0,0.0,0.0
398,Lucky Whitehead,WR,NYJ,3000,0,,,0.0,0.0,0.0,0.0
399,Lucky Whitehead,WR,NYJ,3000,0,,,0.0,0.0,0.0,0.0
400,Lucky Whitehead,WR,NYJ,3000,0,,,0.0,0.0,0.0,0.0
401,Lucky Whitehead,WR,NYJ,3000,0,,,0.0,0.0,0.0,0.0
402,Lucky Whitehead,WR,NYJ,3000,0,,,0.0,0.0,0.0,0.0
403,Lucky Whitehead,WR,NYJ,3000,0,,,0.0,0.0,0.0,0.0
404,Lucky Whitehead,WR,NYJ,3000,0,,,0.0,0.0,0.0,0.0
405,Lucky Whitehead,WR,NYJ,3000,0,,,0.0,0.0,0.0,0.0
406,ArDarius Stewart,WR,NYJ,3000,2.1,,,1.567,1.567,1.567,1.567
407,Chad Hansen,WR,NYJ,3000,0.5,,,0.0,0.0,0.0,0.0
408,Isaiah Ford,WR,MIA,3000,0,,,0.0,0.0,0.0,0.0
409,Benjamin Watson,TE,BAL,3000,6.8,5.98,4.5,7.933,6.137666666666667,7.933,4.5
410,Bobby Rainey,RB,BAL,3000,1,,,9.1,9.1,9.1,9.1
411,Jarius Wright,WR,MIN,3000,2.5,,,2.317,2.317,2.317,2.317
412,Chris Matthews,WR,BAL,3000,1.6,,,0.917,0.917,0.917,0.917
413,Chris Moore,WR,BAL,3000,5.7,,,2.467,2.467,2.467,2.467
414,Breshad Perriman,WR,BAL,3000,0,,,1.1,1.1,1.1,1.1
415,Stacy Coley,WR,MIN,3000,1.5,,,0.0,0.0,0.0,0.0
416,Rodney Adams,WR,MIN,3000,0,,,0.0,0.0,0.0,0.0
417,C.J. Ham,RB,MIN,3000,0.7,,,1.733,1.733,1.733,1.733
418,Darrius Heyward-Bey,WR,PIT,3000,0,,,0.05,0.05,0.05,0.05
419,Justin Hunter,WR,PIT,3000,2.7,,,1.55,1.55,1.55,1.55
420,Roosevelt Nix,RB,PIT,3000,0,,,0.0,0.0,0.0,0.0
421,Roosevelt Nix,RB,PIT,3000,0,,,0.0,0.0,0.0,0.0
422,Roosevelt Nix,RB,PIT,3000,0,,,0.0,0.0,0.0,0.0
423,Roosevelt Nix,RB,PIT,3000,0,,,0.0,0.0,0.0,0.0
424,Roosevelt Nix,RB,PIT,3000,0,,,0.0,0.0,0.0,0.0
425,Roosevelt Nix,RB,PIT,3000,0,,,0.0,0.0,0.0,0.0
426,Roosevelt Nix,RB,PIT,3000,0,,,0.0,0.0,0.0,0.0
427,Tyler Kroft,TE,CIN,3000,7.7,5.94,4.5,7.98,6.140000000000001,7.98,4.5
428,Eli Rogers,WR,PIT,3000,0,,,2.6,2.6,2.6,2.6
429,Tra Carson,RB,CIN,3000,,,,0.0,0.0,0.0,0.0
430,Terrell Watson,RB,PIT,3000,0.4,,,0.133,0.133,0.133,0.133
431,Alex Erickson,WR,CIN,3000,3.7,,,2.4,2.4,2.4,2.4
432,Cody Core,WR,CIN,3000,0,,,0.0,0.0,0.0,0.0
433,Josh Malone,WR,CIN,3000,0,,,0.0,0.0,0.0,0.0
434,Kyle Juszczyk,RB,SF,3000,4.5,,,4.62,4.62,4.62,4.62
435,Keith Smith,RB,DAL,3000,,,,0.6,0.6,0.6,0.6
436,Raheem Mostert,RB,SF,3000,0.4,,,0.333,0.333,0.333,0.333
437,Ryan Switzer,WR,DAL,3000,0.5,,,-0.08,-0.08,-0.08,-0.08
438,Victor Bolden Jr.,WR,SF,3000,0.1,,,0.0,0.0,0.0,0.0
439,Kendrick Bourne,WR,SF,3000,,,,0.0,0.0,0.0,0.0
440,Noah Brown,WR,DAL,3000,0.3,,,0.767,0.767,0.767,0.767
441,Dontrelle Inman,WR,LAC,3000,0.3,,,0.725,0.725,0.725,0.725
442,Jordan Taylor,WR,DEN,3000,7.3,,,2.8,2.8,2.8,2.8
443,Andre Williams,RB,LAC,3000,0,,,0.0,0.0,0.0,0.0
444,Derek Watt,RB,LAC,3000,0.2,,,0.0,0.0,0.0,0.0
445,Derek Watt,RB,LAC,3000,0,,,0.0,0.0,0.0,0.0
446,Derek Watt,RB,LAC,3000,0,,,0.0,0.0,0.0,0.0
447,Derek Watt,RB,LAC,3000,0,,,0.0,0.0,0.0,0.0
448,Cody Latimer,WR,DEN,3000,0,,,1.4,1.4,1.4,1.4
449,Andy Janovich,RB,DEN,3000,0.4,,,0.04,0.04,0.04,0.04
450,Isaiah McKenzie,WR,DEN,3000,0,,,0.28,0.28,0.28,0.28
451,Tre Madden,RB,SEA,3000,,,,0.0,0.0,0.0,0.0
452,Tanner McEvoy,WR,SEA,3000,1.6,,,-0.2,-0.2,-0.2,-0.2
453,Amara Darboh,WR,SEA,3000,1,,,1.12,1.12,1.12,1.12
454,Matthew Slater,WR,NE,3000,0,,,0.0,0.0,0.0,0.0
455,James Develin,RB,NE,3000,0.6,,,0.833,0.833,0.833,0.833
456,Derrick Coleman,RB,ATL,3000,0,,,0.42,0.42,0.42,0.42
457,Brandon Bolden,RB,NE,3000,0,,,0.0,0.0,0.0,0.0
458,Terron Ward,RB,ATL,3000,0,,,0.0,0.0,0.0,0.0
459,Brian Quick,WR,WAS,3000,,,,0.525,0.525,0.525,0.525
460,Mack Brown,RB,WAS,3000,,,,2.5,2.5,2.5,2.5
461,Marcus Johnson,WR,PHI,3000,1.2,,,0.84,0.84,0.84,0.84
462,Mack Hollins,WR,PHI,3000,1.8,,,2.0,2.0,2.0,2.0
463,Shelton Gibson,WR,PHI,3000,0,,,0.0,0.0,0.0,0.0
464,David Njoku,TE,CLE,2900,5.7,4.56,3.0,7.317,4.959,7.317,3.0
465,Ravens ,DST,BAL,2900,,,,12.167,12.167,12.167,12.167
466,Jesse James,TE,PIT,2900,6.6,4.93,3.5,7.517,5.315666666666666,7.517,3.5
467,Colts ,DST,IND,2800,,,,5.832999999999998,5.832999999999998,5.832999999999998,5.832999999999998
468,Antonio Gates,TE,LAC,2800,6.7,4.91,2.0,4.917,3.9423333333333335,4.917,2.0
469,A.J. Derby,TE,DEN,2800,6.6,4.81,3.0,5.48,4.43,5.48,3.0
470,Eagles ,DST,PHI,2800,,,,8.667,8.667,8.667,8.667
471,Buccaneers ,DST,TB,2700,,,,6.8,6.8,6.8,6.8
472,Tyler Higbee,TE,LA,2700,7.5,5.25,1.5,4.6,3.783333333333333,5.25,1.5
473,Dwayne Allen,TE,NE,2700,1,,,0.0,0.0,0.0,0.0
474,Logan Thomas,TE,BUF,2600,3.5,,,0.26,0.26,0.26,0.26
475,O.J. Howard,TE,TB,2600,3.7,2.81,1.0,4.34,2.716666666666667,4.34,1.0
476,Dion Sims,TE,CHI,2600,4.5,3.36,,3.633,3.4965,3.633,3.36
477,Seth DeValve,TE,CLE,2600,5.6,4.47,2.5,6.117000000000001,4.362333333333333,6.117000000000001,2.5
478,Jonnu Smith,TE,TEN,2600,3.5,3.01,,4.917,3.9635,4.917,3.01
479,Marcedes Lewis,TE,JAX,2600,6.1,4.94,2.0,5.1,4.013333333333333,5.1,2.0
480,Rams ,DST,LA,2600,,,,11.5,11.5,11.5,11.5
481,Jermaine Gresham,TE,ARI,2600,7.7,5.38,2.0,5.24,4.206666666666667,5.38,2.0
482,Gerald Everett,TE,LA,2600,3.3,2.68,2.0,4.7330000000000005,3.1376666666666666,4.7330000000000005,2.0
483,Julius Thomas,TE,MIA,2600,8.2,5.82,2.5,4.56,4.293333333333333,5.82,2.5
484,Vance McDonald,TE,PIT,2600,2.2,2.08,,0.72,1.4,2.08,0.72
485,Giants ,DST,NYG,2600,,,,6.5,6.5,6.5,6.5
486,Luke Willson,TE,SEA,2600,3,2.65,,5.48,4.065,5.48,2.65
487,Luke Stocker,TE,TB,2500,0.3,,,0.3,0.3,0.3,0.3
488,Khari Lee,TE,BUF,2500,0.5,,,0.0,0.0,0.0,0.0
489,Antony Auclair,TE,TB,2500,,,,0.0,0.0,0.0,0.0
490,Andrew DePaola,TE,CHI,2500,,,,0.0,0.0,0.0,0.0
491,Daniel Brown,TE,CHI,2500,0,,,0.0,0.0,0.0,0.0
492,Chris Manhertz,TE,CAR,2500,0.5,,,0.0,0.0,0.0,0.0
493,Adam Shaheen,TE,CHI,2500,0.2,,,1.2,1.2,1.2,1.2
494,Beau Brinkley,TE,TEN,2500,0,,,0.0,0.0,0.0,0.0
495,Randall Telfer,TE,CLE,2500,0.3,,,0.733,0.733,0.733,0.733
496,Phillip Supernaw,TE,TEN,2500,0.2,,,1.817,1.817,1.817,1.817
497,Lance Kendricks,TE,GB,2500,2.1,1.81,,3.567,2.6885000000000003,3.567,1.81
498,Michael Hoomanawanui,TE,NO,2500,2.8,1.94,,2.96,2.45,2.96,1.94
499,Josh Hill,TE,NO,2500,1.3,1.86,,1.44,1.65,1.86,1.44
500,Richard Rodgers,TE,GB,2500,0.3,,,1.133,1.133,1.133,1.133
501,Brandon Williams,TE,IND,2500,0.9,,,2.267,2.267,2.267,2.267
502,Erik Swoope,TE,IND,2500,0,,,0.0,0.0,0.0,0.0
503,James O'Shaughnessy,TE,JAX,2500,1.6,1.57,,1.35,1.46,1.57,1.35
504,Ben Koyack,TE,JAX,2500,0.5,,,0.517,0.517,0.517,0.517
505,Henry Krieger-Coble,TE,IND,2500,,,,0.0,0.0,0.0,0.0
506,Darrell Daniels,TE,IND,2500,0.9,,,0.65,0.65,0.65,0.65
507,Ifeanyi Momah,TE,ARI,2500,0.7,,,0.933,0.933,0.933,0.933
508,Troy Niklas,TE,ARI,2500,2.6,2.19,,2.4330000000000003,2.3115,2.4330000000000003,2.19
509,Derek Carrier,TE,LA,2500,1.1,,,1.133,1.133,1.133,1.133
510,Ricky Seals-Jones,TE,ARI,2500,,,,0.0,0.0,0.0,0.0
511,Anthony Fasano,TE,MIA,2500,1.6,,,0.0,0.0,0.0,0.0
512,MarQueis Gray,TE,MIA,2500,1,,,0.0,0.0,0.0,0.0
513,Eric Tomlinson,TE,NYJ,2500,1,,,2.225,2.225,2.225,2.225
514,Jordan Leggett,TE,NYJ,2500,0,,,0.0,0.0,0.0,0.0
515,Kevin McDermott,TE,MIN,2500,,,,0.0,0.0,0.0,0.0
516,Blake Bell,TE,MIN,2500,0.5,,,0.3670000000000001,0.3670000000000001,0.3670000000000001,0.3670000000000001
517,Nick Boyle,TE,BAL,2500,3.8,2.94,1.5,3.95,2.796666666666667,3.95,1.5
518,David Morgan,TE,MIN,2500,0.5,,,0.0,0.0,0.0,0.0
519,Maxx Williams,TE,BAL,2500,0,,,2.8,2.8,2.8,2.8
520,Vince Mayle,TE,BAL,2500,,,,1.033,1.033,1.033,1.033
521,Bengals ,DST,CIN,2500,,,,8.4,8.4,8.4,8.4
522,Clark Harris,TE,CIN,2500,0,,,0.0,0.0,0.0,0.0
523,Ryan Hewitt,TE,CIN,2500,,,,0.65,0.65,0.65,0.65
524,Xavier Grimble,TE,PIT,2500,0,,,0.0,0.0,0.0,0.0
525,C.J. Uzomah,TE,CIN,2500,1.3,,,1.733,1.733,1.733,1.733
526,Cethan Carter,TE,CIN,2500,0.5,,,0.0,0.0,0.0,0.0
527,Logan Paulsen,TE,SF,2500,0,,,0.0,0.0,0.0,0.0
528,Kyle Nelson,TE,SF,2500,0,,,0.0,0.0,0.0,0.0
529,Garrett Celek,TE,SF,2500,0.8,,,2.1,2.1,2.1,2.1
530,James Hanna,TE,DAL,2500,1.6,,,1.96,1.96,1.96,1.96
531,Rico Gathers,TE,DAL,2500,0,,,0.0,0.0,0.0,0.0
532,Cole Hikutini,TE,SF,2500,0.3,,,0.0,0.0,0.0,0.0
533,Geoff Swaim,TE,DAL,2500,0.5,,,0.0,0.0,0.0,0.0
534,Virgil Green,TE,DEN,2500,3.9,3.08,1.0,4.54,2.8733333333333335,4.54,1.0
535,Sean McGrath,TE,LAC,2500,0.3,,,0.4,0.4,0.4,0.4
536,Jeff Heuerman,TE,DEN,2500,2.2,2.39,,3.18,2.785,3.18,2.39
537,Sean Culkin,TE,LAC,2500,,,,0.0,0.0,0.0,0.0
538,Jake Butt,TE,DEN,2500,0,,,0.0,0.0,0.0,0.0
539,Jake Butt,TE,DEN,2500,0,,,0.0,0.0,0.0,0.0
540,Jake Butt,TE,DEN,2500,0,,,0.0,0.0,0.0,0.0
541,Jake Butt,TE,DEN,2500,0,,,0.0,0.0,0.0,0.0
542,Rhett Ellison,TE,NYG,2500,3.1,2.43,1.0,2.833,2.087666666666667,2.833,1.0
543,Tyler Ott,TE,SEA,2500,,,,0.0,0.0,0.0,0.0
544,Matt LaCosse,TE,NYG,2500,0.6,,,0.0,0.0,0.0,0.0
545,Nick Vannett,TE,SEA,2500,0.3,,,0.86,0.86,0.86,0.86
546,Jerell Adams,TE,NYG,2500,0.6,,,1.4169999999999998,1.4169999999999998,1.4169999999999998,1.4169999999999998
547,Levine Toilolo,TE,ATL,2500,1.3,,,1.02,1.02,1.02,1.02
548,Eric Saubert,TE,ATL,2500,0,,,0.0,0.0,0.0,0.0
549,Jacob Hollister,TE,NE,2500,0.7,,,0.88,0.88,0.88,0.88
550,Brent Celek,TE,PHI,2500,1.3,,1.0,0.6,0.8,1.0,0.6
551,Niles Paul,TE,WAS,2500,,,,0.12,0.12,0.12,0.12
552,Trey Burton,TE,PHI,2500,2.4,2.23,1.0,2.7,1.9766666666666666,2.7,1.0
553,Jeremy Sprinkle,TE,WAS,2500,,,,0.0,0.0,0.0,0.0
554,Cardinals ,DST,ARI,2400,,,,5.167000000000002,5.167000000000002,5.167000000000002,5.167000000000002
555,Chargers ,DST,LAC,2400,,,,5.5,5.5,5.5,5.5
556,Redskins ,DST,WAS,2400,,,,8.4,8.4,8.4,8.4
557,Browns ,DST,CLE,2300,,,,5.332999999999998,5.332999999999998,5.332999999999998,5.332999999999998
558,Packers ,DST,GB,2300,,,,7.167000000000002,7.167000000000002,7.167000000000002,7.167000000000002
559,Patriots ,DST,NE,2300,,,,4.667,4.667,4.667,4.667
560,Bears ,DST,CHI,2200,,,,6.0,6.0,6.0,6.0
561,49ers ,DST,SF,2100,,,,5.167000000000002,5.167000000000002,5.167000000000002,5.167000000000002
562,Falcons ,DST,ATL,2100,,,,5.6,5.6,5.6,5.6
