,Position,Player,Salary,Opponent,AvgPointsPerGame,Team,PlayerID
253,RB,Tra Carson,3000,IND@CIN 10/29/2017 01:00PM ET,0.0,CIN,00-0032540
254,WR,Alex Erickson,3000,IND@CIN 10/29/2017 01:00PM ET,2.533,CIN,00-0032543
255,RB,Matt Jones,3000,IND@CIN 10/29/2017 01:00PM ET,0.7,IND,00-0031939
256,WR,Cody Core,3000,IND@CIN 10/29/2017 01:00PM ET,0.0,CIN,00-0032795
257,WR,Chester Rogers,3000,IND@CIN 10/29/2017 01:00PM ET,2.05,IND,00-0032355
258,WR,Josh Malone,3000,IND@CIN 10/29/2017 01:00PM ET,0.0,CIN,00-0033859
259,WR,Matthew Slater,3000,LAC@NE 10/29/2017 01:00PM ET,0.0,NE,00-0026293
260,RB,James Develin,3000,LAC@NE 10/29/2017 01:00PM ET,0.7140000000000001,NE,00-0027925
261,RB,Brandon Bolden,3000,LAC@NE 10/29/2017 01:00PM ET,0.0,NE,00-0029239
262,RB,Andre Williams,3000,LAC@NE 10/29/2017 01:00PM ET,0.0,LAC,00-0031055
263,RB,Derek Watt,3000,LAC@NE 10/29/2017 01:00PM ET,0.0,LAC,
264,WR,Dontrelle Inman,3000,CHI@NO 10/29/2017 01:00PM ET,0.725,CHI,00-0028411
265,RB,Zach Line,3000,CHI@NO 10/29/2017 01:00PM ET,0.0,NO,00-0029931
266,RB,Benny Cunningham,3000,CHI@NO 10/29/2017 01:00PM ET,4.12,CHI,00-0029795
267,WR,Josh Bellamy,3000,CHI@NO 10/29/2017 01:00PM ET,3.057,CHI,00-0029319
268,RB,Michael Burton,3000,CHI@NO 10/29/2017 01:00PM ET,0.35700000000000004,CHI,00-0031595
269,WR,Tre McBride,3000,CHI@NO 10/29/2017 01:00PM ET,0.7,CHI,00-0032123
270,RB,Daniel Lasco II,3000,CHI@NO 10/29/2017 01:00PM ET,0.0,NO,
271,WR,Tommylee Lewis,3000,CHI@NO 10/29/2017 01:00PM ET,3.24,NO,00-0032881
272,RB,Trey Edmunds,3000,CHI@NO 10/29/2017 01:00PM ET,0.0,NO,00-0033838
273,WR,Austin Carr,3000,CHI@NO 10/29/2017 01:00PM ET,0.0,NO,00-0033382
274,RB,Taquan Mizzell,3000,CHI@NO 10/29/2017 01:00PM ET,0.0,CHI,00-0033373
