,Player,Position,Team,Opponent,Points,PlayerID
53,Jordy Nelson,WR,GB,CLE,15.2,00-0026176
54,Riley Cooper,WR,PHI,DAL,14.8,00-0027758
55,Aldrick Robinson,WR,WAS,CHI,14.4,00-0028116
56,Sidney Rice,WR,SEA,ARI,14.0,00-0025431
57,Mike Wallace,WR,MIA,BUF,13.8,00-0026901
58,Brandon Marshall,WR,CHI,WAS,13.5,00-0024334
59,Andre Johnson,WR,HOU,KC,12.9,00-0022044
60,Brian Hartline,WR,MIA,BUF,12.9,00-0027077
61,Anquan Boldin,WR,SF,TEN,12.4,00-0022084
62,Steve Johnson,WR,BUF,MIA,12.1,00-0026364
63,Jaron Brown,WR,ARI,SEA,12.0,00-0030300
64,David Nelson,WR,NYJ,NE,12.0,00-0027322
65,Rueben Randle,WR,NYG,MIN,12.0,00-0029262
66,Justin Blackmon,WR,JAX,LAC,11.8,00-0029707
67,Brian Quick,WR,LA,CAR,11.7,00-0029640
68,Golden Tate,WR,SEA,ARI,11.7,00-0027891
69,Dwayne Bowe,WR,KC,HOU,11.6,00-0025410
70,Cole Beasley,WR,DAL,PHI,11.3,00-0029000
71,Antonio Brown,WR,PIT,BAL,11.3,00-0027793
72,Michael Floyd,WR,ARI,SEA,10.8,00-0029638
73,Pierre Garcon,WR,WAS,CHI,10.8,00-0026345
74,Victor Cruz,WR,NYG,MIN,10.0,00-0027265
75,Reggie Wayne,WR,IND,DEN,10.0,00-0020498
76,Keenan Allen,WR,LAC,JAX,9.7,00-0030279
77,Julian Edelman,WR,NE,NYJ,9.4,00-0027150
78,Nate Washington,WR,TEN,SF,9.2,00-0023367
79,Torrey Smith,WR,BAL,PIT,9.1,00-0027996
80,Kris Durham,WR,DET,CIN,9.1,00-0028045
81,Greg Little,WR,CLE,GB,8.9,00-0027997
82,Jordan Cameron,TE,CLE,GB,18.5,00-0028040
83,Jermichael Finley,TE,GB,CLE,18.2,00-0026231
84,Julius Thomas,TE,DEN,IND,15.1,00-0028067
85,Zach Miller,TE,SEA,ARI,15.0,00-0027125
86,Coby Fleener,TE,IND,DEN,14.8,00-0029697
87,Delanie Walker,TE,TEN,SF,14.2,00-0024389
88,Tyler Eifert,TE,CIN,DET,13.5,00-0030549
89,Rob Housler,TE,ARI,SEA,12.3,00-0028007
90,Jermaine Gresham,TE,CIN,DET,10.4,00-0027873
91,Vernon Davis,TE,SF,TEN,10.2,00-0024221
92,Dallas Clark,TE,BAL,PIT,9.9,00-0022165
93,Brandon Pettigrew,TE,DET,CIN,9.7,00-0026996
94,Antonio Gates,TE,LAC,JAX,9.1,00-0021547
95,Jason Witten,TE,DAL,PHI,8.8,00-0022127
96,Heath Miller,TE,PIT,BAL,8.7,00-0023465
97,Greg Olsen,TE,CAR,LAR,8.7,00-0025418
