,Player,Position,Team,Opponent,FantasyFootball_FantasyPoints,PlayerID
71,Jordan Matthews,WR,BUF,OAK,4.0,00-0031299
72,Kenny Stills,WR,MIA,@BAL,4.0,00-0030085
73,Mike Wallace,WR,BAL,MIA,4.0,00-0026901
74,Taylor Gabriel,WR,ATL,@NYJ,3.5,00-0031228
75,Jeremy Kerley,WR,NYJ,ATL,3.5,00-0028091
76,Travis Kelce,TE,KC,DEN,14.0,00-0030506
77,Zach Ertz,TE,PHI,SF,13.0,00-0030061
78,Rob Gronkowski,TE,NE,LAC,12.5,00-0027656
79,Hunter Henry,TE,LAC,@NE,12.0,00-0033090
80,Jason Witten,TE,DAL,@WAS,11.5,00-0022127
81,Cameron Brate,TE,TB,CAR,11.0,00-0031273
82,Jack Doyle,TE,IND,@CIN,11.0,00-0030181
