,Player,Position,Team,Opponent,ESPN_FantasyPoints,PlayerID
640,Beau Brinkley,TE,TEN,** BYE **,--,00-0029134
641,Jarrett Boykin,WR,BUF,Oak,0,
642,Griff Whalen,WR,BAL,Mia,0,
643,Jonas Gray,RB,JAX,** BYE **,--,
644,Lance Dunbar,RB,LA,** BYE **,--,00-0029004
645,Dominique Jones,TE,MIA,Bal,0,
646,Rod Streater,WR,BUF,Oak,0,
647,Derek Carrier,TE,LA,** BYE **,--,00-0029119
648,Matt Simms,QB,ATL,NYJ,0,
649,Travaris Cadet,RB,NYJ,Atl,0,00-0029205
650,Brandon Bolden,RB,NE,LAC,0,00-0029239
651,Sean McGrath,TE,LAC,NE,0,00-0029391
652,LaRon Byrd,WR,CAR,TB,0,
653,Brittan Golden,WR,ARI,** BYE **,--,00-0029336
654,Damaris Johnson,WR,TEN,** BYE **,--,
655,Jonathan Grimes,RB,JAX,** BYE **,--,
656,Chase Ford,TE,BAL,Mia,0,
657,Cooper Helfet,TE,OAK,Buf,0,
658,Brandon Bostick,TE,NYJ,Atl,0,
659,Alex Tanney,QB,TEN,** BYE **,--,00-0029623
660,Josh Gordon,WR,CLE,Min,0,00-0029664
661,Larry Donnell,TE,BAL,Mia,0,
662,Ifeanyi Momah,TE,ARI,** BYE **,--,00-0029740
663,Brandon Bogotay,K,TB,Car,0,
664,Tyler Eifert,TE,CIN,Ind,0,00-0030549
665,Stedman Bailey,WR,LA,** BYE **,--,
666,Montee Ball,RB,FA,** BYE **,--,
667,Knile Davis,RB,PIT,Det,0,
668,Aaron Dobson,WR,ARI,** BYE **,--,
669,Gavin Escobar,TE,KC,Den,0,
670,Christine Michael,RB,IND,Cin,0,00-0030432
671,Geno Smith,QB,NYG,** BYE **,--,00-0030565
