,Player,Position,Team,Opponent,FantasyPoints,PlayerID
190,Charles Sims,RB,TB,ARI,4.86,00-0031390
191,Bilal Powell,RB,NYJ,NE,5.03,00-0028064
192,Stephen Gostkowski,K,NE,NYJ,9.1,00-0024333
193,Ka'imi Fairbairn,K,HOU,CLE,9.0,00-0032726
194,Giorgio Tavecchio,K,OAK,LAC,9.0,00-0028907
195,Ryan Succop,K,TEN,IND,8.8,00-0026968
196,Matt Bryant,K,ATL,MIA,8.4,00-0020578
197,Brandon McManus,K,DEN,NYG,8.4,00-0029822
198,Harrison Butker,K,KC,PIT,8.4,00-0033303
199,Graham Gano,K,CAR,PHI,8.3,00-0026858
200,Justin Tucker,K,BAL,CHI,8.3,00-0029597
201,Matt Prater,K,DET,NO,8.3,00-0023853
202,Jason Myers,K,JAX,LAR,8.1,00-0031492
203,Adam Vinatieri,K,IND,TEN,8.1,00-0016919
204,Jake Elliott,K,PHI,CAR,8.0,00-0033787
205,Greg Zuerlein,K,LA,JAX,7.8,00-0029621
206,Robbie Gould,K,SF,WAS,7.7,00-0023252
207,Chris Boswell,K,PIT,KC,7.7,00-0031136
208,Phil Dawson,K,ARI,TB,7.5,00-0004091
209,Kai Forbath,K,MIN,GB,7.4,00-0028787
210,Mason Crosby,K,GB,MIN,7.3,00-0025580
211,Chandler Catanzaro,K,NYJ,NE,7.3,00-0030896
212,Nick Novak,K,LAC,OAK,7.1,00-0023096
213,Patrick Murray,K,TB,ARI,6.7,00-0030626
214,Zane Gonzalez,K,CLE,HOU,5.1,00-0033862
215,Cody Parkey,K,MIA,ATL,5.0,00-0030850
216,Connor Barth,K,CHI,BAL,4.9,00-0026138
217,Aldrick Rosas,K,NYG,DEN,4.3,00-0032870
218,Caleb Sturgis,K,PHI,CAR,0.0,00-0030390
219,Nick Folk,K,TB,ARI,0.0,00-0025565
220,Sebastian Janikowski,K,OAK,LAC,0.0,00-0019646
