,Player,Position,Team,Salary,ESPN_FantasyPoints,FantasyData_FantasyPoints,FantasyFootball_FantasyPoints,CBS_FantasyPoints,AvgPointsPerGame,Avg,Max,Min
92,DeShone Kizer,QB,CLE,4600,11.1,10.19,16.5,5.0,10.367,10.51425,16.5,5.0
93,Dion Lewis,RB,NE,4600,8.9,7.86,12.5,6.0,6.7860000000000005,8.2865,12.5,6.0
94,Chase Daniel,QB,NO,4600,0.1,0.19,,0.0,0.0,0.06333333333333334,0.19,0.0
95,Mitchell Trubisky,QB,CHI,4600,13.6,11.42,15.8,13.0,6.655,11.71875,15.8,6.655
96,Tarik Cohen,RB,CHI,4600,9.8,7.34,8.0,11.0,11.677,9.504249999999999,11.677,7.34
97,Taylor Gabriel,WR,ATL,4600,8.6,,3.5,6.0,6.9,5.466666666666666,6.9,3.5
98,Jimmy Graham,TE,SEA,4600,11.2,8.9,11.0,9.0,9.833,9.68325,11.0,8.9
99,Kyle Rudolph,TE,MIN,4500,8.6,7.82,5.5,8.0,8.914,7.5585,8.914,5.5
100,Cody Kessler,QB,CLE,4500,0.1,1.76,,0.0,3.74,1.8333333333333333,3.74,0.0
101,Duke Johnson Jr.,RB,CLE,4500,10.2,8.1,6.5,9.0,13.671,9.31775,13.671,6.5
102,Cardale Jones,QB,LAC,4500,0,,,0.0,0.0,0.0,0.0,0.0
103,Cameron Brate,TE,TB,4500,9.6,7.84,11.0,8.0,14.183,10.255749999999999,14.183,7.84
104,Cole Beasley,WR,DAL,4500,9.2,6.6,,8.0,6.882999999999999,7.160999999999999,8.0,6.6
105,Cooper Rush,QB,DAL,4500,0.1,0.12,,0.0,1.38,0.5,1.38,0.0
106,Landry Jones,QB,PIT,4500,0.1,0.22,,0.0,0.0,0.07333333333333333,0.22,0.0
107,James Conner,RB,PIT,4500,2.2,,,2.0,1.257,1.6284999999999998,2.0,1.257
108,Mike Glennon,QB,CHI,4400,0.1,0.27,,0.0,11.18,3.8166666666666664,11.18,0.0
109,Nick Foles,QB,PHI,4400,0.1,0.26,,0.0,0.0,0.08666666666666667,0.26,0.0
110,Greg Olsen,TE,CAR,4400,0,,,,2.9,2.9,2.9,2.9
111,Jalen Richard,RB,OAK,4300,10.3,8.86,6.5,8.0,7.0139999999999985,7.5935,8.86,6.5
112,Scott Tolzien,QB,IND,4300,0.1,0.05,,0.0,3.32,1.1233333333333333,3.32,0.0
113,Matt Schaub,QB,ATL,4300,0.1,0.17,,0.0,0.0,0.05666666666666667,0.17,0.0
114,Austin Davis,QB,SEA,4300,0.1,0.21,,0.0,-0.1,0.03666666666666666,0.21,-0.1
115,Tom Savage,QB,HOU,4300,0.1,0.1,,0.0,0.24,0.11333333333333333,0.24,0.0
116,Jamison Crowder,WR,WAS,4300,,7.0,4.5,6.0,5.55,5.7625,7.0,4.5
117,Theo Riddick,RB,DET,4300,10.7,8.19,11.5,6.0,8.482999999999999,8.543249999999999,11.5,6.0
118,Mike Gillislee,RB,NE,4200,6.7,5.83,2.5,5.0,7.871,5.30025,7.871,2.5
119,Matt Forte,RB,NYJ,4200,9.9,8.71,6.0,9.0,10.3,8.502500000000001,10.3,6.0
120,Robby Anderson,WR,NYJ,4200,9.8,7.58,12.0,8.0,9.443,9.255749999999999,12.0,7.58
121,Matt Breida,RB,SF,4200,6.7,,3.5,3.0,4.4289999999999985,3.6429999999999993,4.4289999999999985,3.0
122,Jason Witten,TE,DAL,4200,9.6,8.15,11.5,9.0,12.717,10.34175,12.717,8.15
123,Samaje Perine,RB,WAS,4200,,,,2.0,4.933,3.4665,4.933,2.0
124,Ameer Abdullah,RB,DET,4200,10.9,9.85,5.5,9.0,9.5,8.4625,9.85,5.5
125,Jake Rudock,QB,DET,4200,0.1,,,0.0,0.0,0.0,0.0,0.0
126,Marshawn Lynch,RB,OAK,4100,0,,,,6.629,6.629,6.629,6.629
127,DeAndre Washington,RB,OAK,4100,11.3,9.16,6.5,9.0,5.45,7.5275,9.16,5.45
128,Austin Hooper,TE,ATL,4100,8,6.37,3.0,8.0,8.633,6.50075,8.633,3.0
129,Tyler Lockett,WR,SEA,4100,9.3,7.58,4.0,6.0,7.832999999999998,6.353249999999999,7.832999999999998,4.0
130,Rob Kelley,RB,WAS,4100,,8.56,4.0,6.0,4.525,5.77125,8.56,4.0
131,Vikings ,DST,MIN,4000,,,,,6.5710000000000015,6.5710000000000015,6.5710000000000015,6.5710000000000015
132,Josh Gordon,WR,CLE,4000,0,,,,0.0,0.0,0.0,0.0
133,Kyle Sloter,QB,MIN,4000,,,,0.0,0.0,0.0,0.0,0.0
134,Joe Webb,QB,BUF,4000,0,,,0.0,0.0,0.0,0.0,0.0
135,Charles Clay,TE,BUF,4000,0,,,,12.16,12.16,12.16,12.16
136,Connor Cook,QB,OAK,4000,0,,,0.0,0.0,0.0,0.0,0.0
137,Nathan Peterman,QB,BUF,4000,0.1,,,0.0,0.0,0.0,0.0,0.0
138,Frank Gore,RB,IND,4000,10.3,8.22,7.0,8.0,9.171,8.09775,9.171,7.0
139,Jeff Driskel,QB,CIN,4000,0,,,0.0,0.0,0.0,0.0,0.0
140,Marlon Mack,RB,IND,4000,7.5,6.17,6.5,7.0,8.4,7.0175,8.4,6.17
141,Kellen Clemens,QB,LAC,4000,0.1,0.19,,0.0,0.0,0.06333333333333334,0.19,0.0
142,Mark Sanchez,QB,CHI,4000,0,,,0.0,0.0,0.0,0.0,0.0
143,Taysom Hill,QB,NO,4000,,,,0.0,0.0,0.0,0.0,0.0
144,Willie Snead,WR,NO,4000,8.1,6.64,,8.0,2.1,5.580000000000001,8.0,2.1
145,Bryce Petty,QB,NYJ,4000,0.1,0.27,,0.0,0.0,0.09000000000000001,0.27,0.0
146,Elijah McGuire,RB,NYJ,4000,3.2,,,0.0,5.143,2.5715,5.143,0.0
147,Christian Hackenberg,QB,NYJ,4000,0,,,0.0,0.0,0.0,0.0,0.0
148,Jacquizz Rodgers,RB,TB,4000,2.3,,,2.0,5.55,3.775,5.55,2.0
149,Ryan Griffin,QB,TB,4000,0,,,0.0,0.0,0.0,0.0,0.0
150,Garrett Gilbert,QB,CAR,4000,,,,0.0,0.0,0.0,0.0,0.0
151,Paul Richardson,WR,SEA,4000,8.3,7.58,,9.0,10.15,8.909999999999998,10.15,7.58
152,D'Onta Foreman,RB,HOU,4000,4.7,,4.0,4.0,4.917,4.305666666666666,4.917,4.0
153,Kellen Moore,QB,DAL,4000,0,,,0.0,0.0,0.0,0.0,0.0
154,Joshua Dobbs,QB,PIT,4000,0,,,0.0,0.0,0.0,0.0,0.0
155,Brad Kaaya,QB,DET,4000,0,,,0.0,0.0,0.0,0.0,0.0
156,JuJu Smith-Schuster,WR,PIT,4000,7.9,,4.5,8.0,8.3,6.933333333333334,8.3,4.5
157,Jared Cook,TE,OAK,3900,9.2,7.66,9.0,8.0,9.514,8.5435,9.514,7.66
158,Jordan Matthews,WR,BUF,3900,9.4,6.73,4.0,6.0,7.04,5.9425,7.04,4.0
159,Travis Benjamin,WR,LAC,3900,4.4,,,5.0,8.814,6.907,8.814,5.0
160,Branden Oliver,RB,LAC,3900,0,,,2.0,3.2,2.6,3.2,2.0
161,Torrey Smith,WR,PHI,3900,5.3,,,8.0,5.814,6.907,8.0,5.814
162,Marquise Goodwin,WR,SF,3900,9,7.11,5.0,7.0,8.357000000000001,6.86675,8.357000000000001,5.0
163,Corey Clement,RB,PHI,3900,3.3,,,0.0,3.543,1.7715,3.543,0.0
164,Josh Doctson,WR,WAS,3900,,7.12,6.0,7.0,5.317,6.35925,7.12,5.317
165,Isaiah Crowell,RB,CLE,3800,8.7,7.59,6.0,8.0,7.786,7.343999999999999,8.0,6.0
166,Mike Tolbert,RB,BUF,3800,5.8,,4.0,4.0,5.283,4.427666666666667,5.283,4.0
167,Jeremy Kerley,WR,NYJ,3800,6.8,,3.5,7.0,7.832999999999998,6.111,7.832999999999998,3.5
168,Eagles ,DST,PHI,3800,,,,14.0,8.286,11.143,14.0,8.286
169,Martavis Bryant,WR,PIT,3800,8.7,,,,7.086,7.086,7.086,7.086
170,Deonte Thompson,WR,BUF,3700,1.9,,4.5,6.0,7.867000000000001,6.122333333333334,7.867000000000001,4.5
171,Deonte Thompson,WR,BUF,3700,0,,4.5,6.0,7.867000000000001,6.122333333333334,7.867000000000001,4.5
172,Deonte Thompson,WR,BUF,3700,0,,4.5,6.0,7.867000000000001,6.122333333333334,7.867000000000001,4.5
173,Deonte Thompson,WR,BUF,3700,0,,4.5,6.0,7.867000000000001,6.122333333333334,7.867000000000001,4.5
174,Deonte Thompson,WR,BUF,3700,0,,4.5,6.0,7.867000000000001,6.122333333333334,7.867000000000001,4.5
175,Deonte Thompson,WR,BUF,3700,0,,4.5,6.0,7.867000000000001,6.122333333333334,7.867000000000001,4.5
176,Deonte Thompson,WR,BUF,3700,0,,4.5,6.0,7.867000000000001,6.122333333333334,7.867000000000001,4.5
177,Deonte Thompson,WR,BUF,3700,0,,4.5,6.0,7.867000000000001,6.122333333333334,7.867000000000001,4.5
178,Deonte Thompson,WR,BUF,3700,0,,4.5,6.0,7.867000000000001,6.122333333333334,7.867000000000001,4.5
179,Deonte Thompson,WR,BUF,3700,0,,4.5,6.0,7.867000000000001,6.122333333333334,7.867000000000001,4.5
180,Deonte Thompson,WR,BUF,3700,0,,4.5,6.0,7.867000000000001,6.122333333333334,7.867000000000001,4.5
181,Deonte Thompson,WR,BUF,3700,0,,4.5,6.0,7.867000000000001,6.122333333333334,7.867000000000001,4.5
182,Deonte Thompson,WR,BUF,3700,0,,4.5,6.0,7.867000000000001,6.122333333333334,7.867000000000001,4.5
183,Deonte Thompson,WR,BUF,3700,0,,4.5,6.0,7.867000000000001,6.122333333333334,7.867000000000001,4.5
184,Deonte Thompson,WR,BUF,3700,0,,4.5,6.0,7.867000000000001,6.122333333333334,7.867000000000001,4.5
185,Deonte Thompson,WR,BUF,3700,1.9,,4.5,0.0,7.867000000000001,4.122333333333334,7.867000000000001,0.0
186,Deonte Thompson,WR,BUF,3700,0,,4.5,0.0,7.867000000000001,4.122333333333334,7.867000000000001,0.0
187,Deonte Thompson,WR,BUF,3700,0,,4.5,0.0,7.867000000000001,4.122333333333334,7.867000000000001,0.0
188,Deonte Thompson,WR,BUF,3700,0,,4.5,0.0,7.867000000000001,4.122333333333334,7.867000000000001,0.0
