gameKey,season,day,month,time,weekDay,week,year,home,away,scoreHome,scoreAway,homeFirstDowns,homeTotalYards,homePassingYards,homeRushingYards,homePenaltyCount,homePenaltyYards,homeTurnovers,homePuntCount,homePuntYards,homePuntAvg,homePossessionTime,awayFirstDowns,awayTotalYards,awayPassingYards,awayRushingYards,awayPenaltyCount,awayPenaltyYards,awayTurnovers,awayPuntYards,awayPuntAvg,awayPossessionTime
54593,REG,8,11,4:15,Sun,9,2009,SF,TEN,27,34,25,358,250,108,5,25,4,3,170,53,2030,14,315,163,152,8,58,0,5,217,44,1570
54594,REG,8,11,8:20,Sun,9,2009,PHI,DAL,16,20,17,297,208,89,8,82,2,3,133,42,1696,18,358,282,76,11,70,1,5,219,42,1904
54595,REG,9,11,8:30,Mon,9,2009,DEN,PIT,10,28,12,242,215,27,3,25,3,7,270,33,1617,21,375,202,173,4,28,2,5,221,40,1983
54596,REG,12,11,8:20,Thu,10,2009,SF,CHI,10,6,12,216,106,110,9,77,1,5,191,33,1893,19,350,307,43,10,75,5,4,176,43,1707
54597,REG,15,11,1:00,Sun,10,2009,CAR,ATL,28,19,19,380,195,185,5,48,0,4,177,35,1689,22,400,224,176,4,26,2,2,109,45,1911
54598,REG,15,11,1:00,Sun,10,2009,MIA,TB,25,23,23,374,175,199,3,30,2,6,273,40,1874,16,302,180,122,9,77,2,5,205,40,1726
54599,REG,15,11,1:00,Sun,10,2009,MIN,DET,27,10,19,492,340,152,13,91,2,4,192,43,1823,19,297,204,93,4,40,1,7,287,39,1777
54600,REG,15,11,1:00,Sun,10,2009,NYJ,JAC,22,24,19,322,212,110,4,26,3,2,101,51,1733,18,347,208,139,5,40,1,4,147,36,1867
54601,REG,15,11,1:00,Sun,10,2009,PIT,CIN,12,18,16,226,146,80,5,50,1,5,217,39,1852,14,218,157,61,7,87,0,4,166,34,1748
54602,REG,15,11,1:00,Sun,10,2009,STL,NO,23,28,23,434,293,141,4,20,1,4,144,35,1922,19,420,217,203,6,40,3,3,112,21,1678
54603,REG,15,11,1:00,Sun,10,2009,TEN,BUF,41,17,20,378,210,168,8,75,1,3,119,31,1880,14,296,207,89,10,65,2,5,210,36,1720
54604,REG,15,11,1:00,Sun,10,2009,WAS,DEN,27,17,22,388,214,174,2,19,0,4,152,38,2143,14,305,185,120,4,45,2,4,177,42,1457
54605,REG,15,11,4:05,Sun,10,2009,OAK,KC,10,16,11,272,90,182,10,88,2,11,531,44,1866,14,318,206,112,5,35,3,6,283,48,1734
54606,REG,15,11,4:15,Sun,10,2009,ARI,SEA,31,20,22,462,340,122,11,136,0,7,364,43,1890,29,472,308,164,9,113,2,7,298,40,1710
54607,REG,15,11,4:15,Sun,10,2009,GB,DAL,17,7,20,283,178,105,12,100,0,7,306,35,2158,17,278,217,61,10,67,3,6,247,37,1442
54608,REG,15,11,4:15,Sun,10,2009,SD,PHI,31,23,22,331,212,119,3,31,0,4,200,47,1823,26,462,433,29,9,70,1,4,160,37,1777
54609,REG,15,11,8:20,Sun,10,2009,IND,NE,35,34,25,407,316,91,3,20,2,7,339,32,1498,24,477,364,113,4,72,2,4,176,44,2102
54610,REG,16,11,8:30,Mon,10,2009,CLE,BAL,0,16,11,160,74,86,6,52,2,9,347,38,1708,14,274,140,134,7,43,0,7,293,39,1892
54611,REG,19,11,8:20,Thu,11,2009,CAR,MIA,17,24,22,383,201,182,4,35,1,5,210,36,1767,17,326,172,154,5,30,0,6,301,40,1833
54612,REG,22,11,1:00,Sun,11,2009,BAL,IND,15,17,20,354,256,98,2,20,2,2,86,42,1956,20,375,299,76,5,40,3,3,120,36,1644
54613,REG,22,11,1:00,Sun,11,2009,DAL,WAS,7,6,17,305,152,153,6,35,2,6,232,37,1886,14,324,246,78,5,27,1,5,195,32,1714
54614,REG,22,11,1:00,Sun,11,2009,DET,CLE,38,37,26,473,416,57,8,41,2,3,129,35,1514,22,439,308,131,8,69,0,6,247,37,2086
