,Position,Player,Salary,Opponent,AvgPointsPerGame,Team,PlayerID
153,WR,Robby Anderson,4200,NYJ@MIA 10/22/2017 01:00PM ET,8.933,NYJ,00-0032688
154,RB,Elijah McGuire,4200,NYJ@MIA 10/22/2017 01:00PM ET,5.882999999999999,NYJ,00-0033295
155,WR,Jeremy Maclin,4200,BAL@MIN 10/22/2017 01:00PM ET,8.78,BAL,00-0026995
156,TE,Hunter Henry,4200,DEN@LAC 10/22/2017 04:25PM ET,8.633,LAC,00-0033090
157,WR,Paul Richardson,4200,SEA@NYG 10/22/2017 04:25PM ET,9.36,SEA,00-0031257
158,WR,Jamison Crowder,4200,WAS@PHI 10/23/2017 08:30PM ET,5.64,WAS,00-0031941
159,RB,Rob Kelley,4200,WAS@PHI 10/23/2017 08:30PM ET,4.367,WAS,00-0032371
160,WR,Ted Ginn Jr.,4100,NO@GB 10/22/2017 01:00PM ET,10.28,NO,00-0025396
161,RB,Frank Gore,4100,JAX@IND 10/22/2017 01:00PM ET,10.133,IND,00-0023500
162,WR,Allen Hurns,4100,JAX@IND 10/22/2017 01:00PM ET,9.567,JAX,00-0030821
163,RB,Marlon Mack,4100,JAX@IND 10/22/2017 01:00PM ET,7.85,IND,00-0033951
164,WR,Jeremy Kerley,4100,NYJ@MIA 10/22/2017 01:00PM ET,8.86,NYJ,00-0028091
165,WR,Mike Wallace,4100,BAL@MIN 10/22/2017 01:00PM ET,8.05,BAL,00-0026901
166,RB,Jamaal Charles,4100,DEN@LAC 10/22/2017 04:25PM ET,6.14,DEN,00-0026213
167,QB,Brock Osweiler,4100,DEN@LAC 10/22/2017 04:25PM ET,0.62,DEN,00-0029682
168,WR,Tyler Lockett,4100,SEA@NYG 10/22/2017 04:25PM ET,7.72,SEA,00-0032211
169,RB,Thomas Rawls,4100,SEA@NYG 10/22/2017 04:25PM ET,1.9669999999999999,SEA,00-0031897
170,RB,C.J. Prosise,4100,SEA@NYG 10/22/2017 04:25PM ET,5.567,SEA,00-0032393
171,TE,Austin Hooper,4100,ATL@NE 10/22/2017 08:30PM ET,10.04,ATL,00-0032392
172,QB,Joe Webb,4000,TB@BUF 10/22/2017 01:00PM ET,0.0,BUF,00-0027796
173,TE,Charles Clay,4000,TB@BUF 10/22/2017 01:00PM ET,12.16,BUF,00-0028112
174,RB,Jacquizz Rodgers,4000,TB@BUF 10/22/2017 01:00PM ET,6.24,TB,00-0028083
175,QB,Ryan Griffin,4000,TB@BUF 10/22/2017 01:00PM ET,0.0,TB,00-0029857
176,QB,Nathan Peterman,4000,TB@BUF 10/22/2017 01:00PM ET,0.0,BUF,00-0033958
177,QB,Mark Sanchez,4000,CAR@CHI 10/22/2017 01:00PM ET,0.0,CHI,00-0026898
178,QB,Garrett Gilbert,4000,CAR@CHI 10/22/2017 01:00PM ET,0.0,CAR,00-0031395
179,QB,Brad Kaaya,4000,CAR@CHI 10/22/2017 01:00PM ET,0.0,CAR,00-0033585
180,WR,Kenny Britt,4000,TEN@CLE 10/22/2017 01:00PM ET,6.525,CLE,00-0027006
181,QB,Brandon Weeden,4000,TEN@CLE 10/22/2017 01:00PM ET,0.0,TEN,00-0029677
182,WR,Josh Gordon,4000,TEN@CLE 10/22/2017 01:00PM ET,0.0,CLE,00-0029664
183,QB,Cody Kessler,4000,TEN@CLE 10/22/2017 01:00PM ET,0.0,CLE,00-0033104
184,RB,Isaiah Crowell,4000,TEN@CLE 10/22/2017 01:00PM ET,7.233,CLE,00-0030656
185,QB,Taysom Hill,4000,NO@GB 10/22/2017 01:00PM ET,0.0,NO,00-0033357
186,WR,Willie Snead,4000,NO@GB 10/22/2017 01:00PM ET,2.1,NO,00-0030663
