Player,Position,Team,Opponent,ESPN_FantasyPoints
Ryan Tannehill,QB,MIA,NYJ,0
Brandon Weeden,QB,TEN,Cle,0
Brock Osweiler,QB,DEN,LAC,0
Ryan Lindley,QB,IND,Jax,0
Trent Richardson,RB,BAL,Min,0
Lamar Miller,RB,HOU,** BYE **,--
Isaiah Pead,RB,MIA,NYJ,0
Chris Polk,RB,HOU,** BYE **,--
LaMike James,RB,MIA,NYJ,0
Bernard Pierce,RB,DEN,LAC,0
Robert Turbin,RB,IND,Jax,0
Ronnie Hillman,RB,DAL,SF,0
Cyrus Gray,RB,ATL,NE,0
Vick Ballard,RB,NO,GB,0
Orson Charles,TE,KC,Oak,0
Ladarius Green,TE,PIT,Cin,0
Justin Blackmon,WR,JAX,Ind,0
Stephen Hill,WR,CAR,Chi,0
Rueben Randle,WR,CHI,Car,0
Keshawn Martin,WR,DET,** BYE **,--
Trevor Graham,WR,CAR,Chi,0
Nick Toon,WR,LAR,Ari,0
DeVier Posey,WR,DEN,LAC,0
LaVon Brazill,WR,IND,Jax,0
Daniel Herron,RB,BUF,TB,0
Marvin Jones Jr.,WR,DET,** BYE **,--
Chris Givens,WR,PHI,Wsh,0
Bryce Brown,RB,SEA,NYG,0
Daryl Richardson,RB,IND,Jax,0
Greg Scruggs,TE,NE,Atl,0
Kashif Moore,WR,KC,Oak,0
Nathan Palmer,WR,OAK,KC,0
Cory Harkey,RB,LAR,Ari,0
Chris Owusu,WR,NYJ,Mia,0
Brian Tyms,WR,IND,Jax,0
Joe Banyard,RB,BUF,TB,0
Jeff Fuller,WR,SEA,NYG,0
Derrick Coleman,RB,ATL,NE,0
Beau Brinkley,TE,TEN,Cle,0
Jarrett Boykin,WR,BUF,TB,0
Griff Whalen,WR,BAL,Min,0
Jonas Gray,RB,JAX,Ind,0
Lance Dunbar,RB,LAR,Ari,0
Dominique Jones,TE,MIA,NYJ,0
Rod Streater,WR,BUF,TB,0
Matt Simms,QB,ATL,NE,0
Travaris Cadet,RB,NYJ,Mia,0
Brandon Bolden,RB,NE,Atl,0
Deonte Thompson,WR,BUF,TB,0
LaRon Byrd,WR,CAR,Chi,0
Brittan Golden,WR,ARI,LAR,0
Damaris Johnson,WR,TEN,Cle,0
Jonathan Grimes,RB,JAX,Ind,0
Chase Ford,TE,BAL,Min,0
Cooper Helfet,TE,OAK,KC,0
Brandon Bostick,TE,NYJ,Mia,0
Alex Tanney,QB,TEN,Cle,0
Josh Gordon,WR,CLE,Ten,0
Larry Donnell,TE,BAL,Min,0
Fozzy Whittaker,RB,CAR,Chi,0
Brandon Bogotay,K,TB,Buf,0
Tyler Eifert,TE,CIN,Pit,0
DeAndre Hopkins,WR,HOU,** BYE **,--
Stedman Bailey,WR,LAR,Ari,0
Montee Ball,RB,FA,** BYE **,--
Knile Davis,RB,PIT,Cin,0
Aaron Dobson,WR,ARI,LAR,0
Gavin Escobar,TE,KC,Oak,0
Christine Michael,RB,IND,Jax,0
Markus Wheaton,WR,CHI,Car,0
Charles D. Johnson,WR,CAR,Chi,0
Ryan Griffin,TE,HOU,** BYE **,--
Ryan Nassib,QB,JAX,Ind,0
Sean Renfree,QB,ATL,NE,0
B.J. Daniels,WR,ATL,NE,0
Michael Williams,TE,NE,Atl,0
Caleb Sturgis,K,PHI,Wsh,0
Mychal Rivera,TE,JAX,Ind,0
Zac Dysert,QB,ARI,LAR,0
Chris Gragg,TE,NYJ,Mia,0
Matt Barkley,QB,SF,Dal,0
Denard Robinson,RB,JAX,Ind,0
Dustin Hopkins,K,WSH,Phi,0
Mike James,RB,DET,** BYE **,--
Stepfan Taylor,RB,ARI,LAR,0
Cobi Hamilton,WR,PIT,Cin,0
Justice Cunningham,TE,LAR,Ari,0
Theo Riddick,RB,DET,** BYE **,--
Zac Stacy,RB,NYJ,Mia,0
Josh Boyce,WR,CLE,Ten,0
Chris Harper,WR,NYG,Sea,0
Joseph Randle,RB,FA,** BYE **,--
Corey Fuller,WR,NO,GB,0
Spencer Ware,RB,KC,Oak,0
Marquess Wilson,WR,NYJ,Mia,0
Quinton Patton,WR,NYJ,Mia,0
Kendall Gaskins,RB,SF,Dal,0
Steven Miller,RB,DET,** BYE **,--
Ryan Griffin,QB,TB,Buf,0
Da'Rick Rogers,WR,KC,Oak,0
Chris Pantale,TE,MIA,NYJ,0
Ryan Spadola,WR,DET,** BYE **,--
Tyler Bray,QB,KC,Oak,0
Timothy Wright,TE,DET,** BYE **,--
Zach Line,RB,NO,GB,0
Rodney Smith,WR,SEA,NYG,0
Kenbrell Thompkins,WR,NYJ,Mia,0
Zach Sudfeld,TE,NYJ,Mia,0
George Winn,RB,IND,Jax,0
Jake Stoneburner,TE,LAR,Ari,0
Khiry Robinson,RB,NYJ,Mia,0
Myles White,WR,NYJ,Mia,0
Marlon Brown,WR,DEN,LAC,0
Matt McGloin,QB,PHI,Wsh,0
Teddy Bridgewater,QB,MIN,Bal,0
Eric Ebron,TE,DET,** BYE **,--
Odell Beckham Jr.,WR,NYG,Sea,0
Johnny Manziel,QB,CLE,Ten,0
Dri Archer,RB,BUF,TB,0
C.J. Fiedorowicz,TE,HOU,** BYE **,--
Crockett Gillmore,TE,BAL,Min,0
Josh Huff,WR,TB,Buf,0
Terrance West,RB,BAL,Min,0
Tre Mason,RB,LAR,Ari,0
Jace Amaro,TE,TEN,Cle,0
Cody Latimer,WR,DEN,LAC,0
Bishop Sankey,RB,MIN,Bal,0
Allen Robinson,WR,JAX,Ind,0
Shaq Evans,WR,DAL,SF,0
Tajh Boyd,QB,PIT,Cin,0
Zach Mettenberger,QB,PIT,Cin,0
David Fales,QB,MIA,NYJ,0
Jeremy Gallon,WR,NE,Atl,0
Jared Abbrederis,WR,DET,** BYE **,--
Tyler Gaffney,RB,JAX,Ind,0
Kevin Norwood,WR,NYG,Sea,0
Storm Johnson,RB,MIA,NYJ,0
Lache Seastrunk,RB,NYJ,Mia,0
Andre Williams,RB,LAC,Den,0
Keith Wenning,QB,BUF,TB,0
Zach Hocker,K,TB,Buf,0
Jalen Saunders,WR,NE,Atl,0
Ka'Deem Carey,RB,CHI,Car,0
Tom Savage,QB,HOU,** BYE **,--
Bruce Ellington,WR,HOU,** BYE **,--
Lorenzo Taliaferro,RB,BAL,Min,0
Marion Grice,RB,ARI,LAR,0
Aaron Murray,QB,KC,Oak,0
Alfred Blue,RB,HOU,** BYE **,--
Devin Street,WR,HOU,** BYE **,--
Corey Washington,WR,DAL,SF,0
Juwan Thompson,RB,DEN,LAC,0
Kapri Bibbs,RB,SF,Dal,0
Robert Herron,WR,OAK,KC,0
Antonio Andrews,RB,TEN,Cle,0
Darrin Reaves,RB,KC,Oak,0
Brenton Bersin,WR,CAR,Chi,0
Travis Coons,K,LAR,Ari,0
Silas Redd,RB,WSH,Phi,0
Corey Brown,WR,BUF,TB,0
Ryan Hewitt,RB,CIN,Pit,0
Cairo Santos,K,KC,Oak,0
Kasey Redfern,K,DET,** BYE **,--
Frankie Hammond,WR,NYJ,Mia,0
Trey Watts,RB,LAR,Ari,0
Austin Johnson,RB,TB,Buf,0
Darren Fells,TE,DET,** BYE **,--
Brian Leonhardt,TE,MIN,Bal,0
Jay Prosch,RB,HOU,** BYE **,--
TJ Jones,WR,DET,** BYE **,--
James Wright,WR,CLE,Ten,0
Isaiah Burse,WR,LAC,Den,0
Jeremy Butler,WR,BUF,TB,0
Damian Copeland,WR,DET,** BYE **,--
Jonathan Krause,WR,TEN,Cle,0
Matt Blanchard,QB,CHI,Car,0
Dustin Vaughan,QB,BAL,Min,0
Senorise Perry,RB,MIA,NYJ,0
Glenn Winston,RB,CLE,Ten,0
Jordan Gay,K,TEN,Cle,0
Kyle Nelson,TE,SF,Dal,0
Walter Powell,WR,BUF,TB,0
Fitzgerald Toussaint,RB,PIT,Cin,0
Marcel Jensen,TE,WSH,Phi,0
Asante Cleveland,TE,LAC,Den,0
Rashad Ross,WR,BUF,TB,0
Nic Jacobs,TE,JAX,Ind,0
Freddie Martino,WR,TB,Buf,0
Blake Annen,TE,BUF,TB,0
RaShaun Allen,TE,HOU,** BYE **,--
Charcandrick West,RB,KC,Oak,0
Justin Perillo,TE,CHI,Car,0
Connor Shaw,QB,CHI,Car,0
Roosevelt Nix,RB,PIT,Cin,0
Kevin Smith,WR,SEA,NYG,0
Andre Debose,WR,IND,Jax,0
Jason Myers,K,JAX,Ind,0
David Johnson,RB,ARI,LAR,0
MyCole Pruitt,TE,CHI,Car,0
DiAndre Campbell,WR,SF,Dal,0
Gerald Christian,TE,ARI,LAR,0
Issac Blakeney,WR,PIT,Cin,0
Geremy Davis,WR,LAC,Den,0
Da'Ron Brown,WR,LAC,Den,0
Neal Sterling,TE,NYJ,Mia,0
Marcus Murphy,RB,NYJ,Mia,0
Kenny Bell,WR,BAL,Min,0
Dres Anderson,WR,HOU,** BYE **,--
Jeremy Langford,RB,BAL,Min,0
Keith Mumphery,WR,HOU,** BYE **,--
DeAndrew White,WR,HOU,** BYE **,--
Malcolm Johnson,RB,SEA,NYG,0
Dylan Thompson,QB,LAR,Ari,0
Joey Iosefa,RB,NE,Atl,0
Dezmin Lewis,WR,BUF,TB,0
Sammie Coates,WR,CLE,Ten,0
Garrett Grayson,QB,NO,GB,0
David Cobb,RB,CHI,Car,0
Ameer Abdullah,RB,DET,** BYE **,--
Devin Smith,WR,NYJ,Mia,0
Evan Spencer,WR,TB,Buf,0
DeVante Parker,WR,MIA,NYJ,0
Rashad Greene Sr.,WR,JAX,Ind,0
Karlos Williams,RB,PIT,Cin,0
Darren Waller,TE,BAL,Min,0
Kenny Hilliard,RB,WSH,Phi,0
Josh Robinson,RB,IND,Jax,0
Rory Anderson,TE,BUF,TB,0
Chris Conley,WR,KC,Oak,0
Kennard Backman,TE,DET,** BYE **,--
Tyler Varga,RB,IND,Jax,0
Maxx Williams,TE,BAL,Min,0
Dorial Green-Beckham,WR,PHI,Wsh,0
Breshad Perriman,WR,BAL,Min,0
T.J. Yeldon,RB,JAX,Ind,0
Mike Davis,RB,SEA,NYG,0
Kevin White,WR,CHI,Car,0
Jaelen Strong,WR,JAX,Ind,0
Mario Alford,WR,CLE,Ten,0
DeAndre Smelter,WR,SF,Dal,0
Duron Carter,WR,IND,Jax,0
Antwan Goodley,WR,GB,NO,0
Michael Dyer,RB,OAK,KC,0
John Crockett,RB,OAK,KC,0
Terrence Magee,RB,CLE,Ten,0
Seantavius Jones,WR,KC,Oak,0
Gus Johnson,RB,LAC,Den,0
Zach Zenner,RB,DET,** BYE **,--
Kyle Brindza,K,NYJ,Mia,0
Terron Ward,RB,ATL,NE,0
Jarryd Hayne,RB,SF,Dal,0
Andrew Franks,K,MIA,NYJ,0
Brandon Wegher,RB,LAR,Ari,0
Alonzo Harris,RB,GB,NO,0
Cameron Meredith,WR,CHI,Car,0
E.J. Bibbs,TE,WSH,Phi,0
Lucky Whitehead,WR,NYJ,Mia,0
Nikita Whitlock,RB,NYG,Sea,0
Quincy Enunwa,WR,NYJ,Mia,0
Jerome Cunningham,TE,TEN,Cle,0
Matt Hazel,WR,IND,Jax,0
Chris Harper,WR,NYJ,Mia,0
Tyler Murphy,WR,MIA,NYJ,0
Bradley Marquez,WR,LAR,Ari,0
Wes Saxton,TE,BUF,TB,0
Will Tye,TE,NYJ,Mia,0
Donteea Dye,WR,TB,Buf,0
Trey Williams,RB,PIT,Cin,0
Javontee Herndon,WR,DAL,SF,0
Daniel Brown,TE,CHI,Car,0
Eric Rogers,WR,SF,Dal,0
Corey Coleman,WR,CLE,Ten,0
Christian Hackenberg,QB,NYJ,Mia,0
Tyler Boyd,WR,CIN,Pit,0
Roberto Aguayo,K,CHI,Car,0
Braxton Miller,WR,HOU,** BYE **,--
Connor Cook,QB,OAK,KC,0
Malcolm Mitchell,WR,NE,Atl,0
Tyler Ervin,RB,HOU,** BYE **,--
Kenneth Dixon,RB,BAL,Min,0
Cardale Jones,QB,LAC,Den,0
Tajae Sharpe,WR,TEN,Cle,0
Paul Perkins,RB,NYG,Sea,0
Jordan Payton,WR,CLE,Ten,0
Jonathan Williams,RB,BUF,TB,0
Kevin Hogan,QB,CLE,Ten,0
Temarrick Hemingway,TE,LAR,Ari,0
Moritz Bohringer,WR,MIN,Bal,0
Keenan Reynolds,WR,BAL,Min,0
Nate Sudfeld,QB,WSH,Phi,0
Jake Rudock,QB,DET,** BYE **,--
Kolby Listenbee,WR,BUF,TB,0
Dan Vitale,RB,CLE,Ten,0
Cody Core,WR,CIN,Pit,0
Brandon Allen,QB,LAR,Ari,0
Michael Thomas,WR,LAR,Ari,0
Jeff Driskel,QB,CIN,Pit,0
Kelvin Taylor,RB,ATL,NE,0
Aaron Burbridge,WR,SF,Dal,0
Darius Jackson,RB,CLE,Ten,0
Rico Gathers,TE,DAL,SF,0
Brandon Doughty,QB,MIA,NYJ,0
Devin Lucien,WR,NE,Atl,0
Demarcus Ayers,WR,PIT,Cin,0
Daniel Braverman,WR,CHI,Car,0
Thomas Duarte,TE,MIA,NYJ,0
Dwayne Washington,RB,DET,** BYE **,--
Daniel Lasco,RB,NO,GB,0
Devin Lewis Fuller,WR,ATL,NE,0
Charone Peake,WR,NYJ,Mia,0
Keith Marshall,RB,WSH,Phi,0
Kenny Lawler,WR,SEA,NYG,0
Zac Brooks,RB,SEA,NYG,0
Beau Sandland,TE,GB,NO,0
Josh Ferguson,RB,IND,Jax,0
Trevone Boykin,QB,SEA,NYG,0
Ben Braunecker,TE,CHI,Car,0
Cole Wick,TE,DET,** BYE **,--
Stephen Anderson,TE,HOU,** BYE **,--
Taylor Heinicke,QB,MIN,Bal,0
Erik Swoope,TE,IND,Jax,0
Brandon Wilds,RB,CLE,Ten,0
Jhurell Pressley,RB,ATL,NE,0
Anthony Denham,TE,PHI,Wsh,0
Byron Marshall,RB,PHI,Wsh,0
Max McCaffrey,WR,JAX,Ind,0
Reggie Bell,WR,NO,GB,0
Jake Kumerow,WR,CIN,Pit,0
George Atkinson III,RB,OAK,KC,0
James Wilder Jr.,RB,BUF,TB,0
D.J. Foster,RB,ARI,LAR,0
Bryce Williams,TE,CAR,Chi,0
Marquez North,WR,LAR,Ari,0
Andy Jones,WR,HOU,** BYE **,--
Xavier Rush,WR,NO,GB,0
Dom Williams,WR,PHI,Wsh,0
Damiere Byrd,WR,CAR,Chi,0
R.J. Harris,WR,NO,GB,0
Paul McRoberts,WR,LAR,Ari,0
Wendall Williams,WR,HOU,** BYE **,--
Anthony Dable,WR,ATL,NE,0
Darius Jennings,WR,TEN,Cle,0
Devon Cajuste,WR,SF,Dal,0
Mitch Mathews,WR,MIA,NYJ,0
Stephen Morris,QB,IND,Jax,0
Dreamius Smith,RB,LAC,Den,0
Devon Johnson,RB,CAR,Chi,0
Keyarris Garrett,WR,CAR,Chi,0
Jalin Marshall,WR,NYJ,Mia,0
Alan Cross,TE,TB,Buf,0
Braedon Bowman,TE,NO,GB,0
Brian Parker,TE,NYJ,Mia,0
Troymaine Pope,RB,IND,Jax,0
Glenn Gronkowski,RB,NE,Atl,0
Johnny Holton,WR,OAK,KC,0
Julian Howsare,RB,NYJ,Mia,0
Kenneth Farrow,RB,LAC,Den,0
Nelson Spruce,WR,LAR,Ari,0
Joshua Perkins,TE,ATL,NE,0
Paul Lasike,RB,CHI,Car,0
Scott Simonson,TE,CAR,Chi,0
Tommylee Lewis,WR,NO,GB,0
Xavier Grimble,TE,PIT,Cin,0
Peyton Barber,RB,TB,Buf,0
Don Jackson,RB,GB,NO,0
Paul Turner,WR,PHI,Wsh,0
George Farmer,RB,SEA,NYG,0
Mack Brown,RB,WSH,Phi,0
D.J. Tialavea,TE,ATL,NE,0
Matt Lengel,TE,NE,Atl,0
Alex Ellis,TE,JAX,Ind,0
Chad Williams,WR,ARI,LAR,0
Donnel Pumphrey,RB,PHI,Wsh,0
De'Angelo Henderson,RB,DEN,LAC,0
Elijah Hood,RB,OAK,KC,0
D'Onta Foreman,RB,HOU,** BYE **,--
Brad Kaaya,QB,DET,** BYE **,--
Chad Kelly,QB,DEN,LAC,0
Marquez Williams,RB,JAX,Ind,0
Josh Reynolds,WR,LAR,Ari,0
Josh Malone,WR,CIN,Pit,0
Malachi Dupre,WR,GB,NO,0
Rodney Adams,WR,MIN,Bal,0
Michael Roberts,TE,DET,** BYE **,--
Joshua Dobbs,QB,PIT,Cin,0
Jordan Leggett,TE,NYJ,Mia,0
Jake Butt,TE,DEN,LAC,0
Deshaun Watson,QB,HOU,** BYE **,--
Mason Schreck,TE,CIN,Pit,0
Jeremy Sprinkle,TE,WSH,Phi,0
Dalvin Cook,RB,MIN,Bal,0
David Moore,WR,SEA,NYG,0
T.J. Logan,RB,ARI,LAR,0
Carlos Henderson,WR,DEN,LAC,0
Robert Davis,WR,WSH,Phi,0
Shelton Gibson,WR,PHI,Wsh,0
Dede Westbrook,WR,JAX,Ind,0
Isaiah McKenzie,WR,DEN,LAC,0
Corey Davis,WR,TEN,Cle,0
Bucky Hodges,TE,MIN,Bal,0
Sam Rogers,RB,LAR,Ari,0
Isaiah Ford,WR,MIA,NYJ,0
Devante Mays,RB,GB,NO,0
Chris Carson,RB,SEA,NYG,0
Kenny Golladay,WR,DET,** BYE **,--
Eric Saubert,TE,ATL,NE,0
Joe Williams,RB,SF,Dal,0
Khalfani Muhammad,RB,TEN,Cle,0
Jeremy McNichols,RB,TB,Buf,0
DeAngelo Yancey,WR,GB,NO,0
Davis Webb,QB,NYG,Sea,0
Brian Hill,RB,ATL,NE,0
Freddie Stevenson,RB,CHI,Car,0
Jace Billingsley,WR,DET,** BYE **,--
